timestamp,setup,trigger,tipo,entry,stop,target,uscita,esito,pnl
2026-07-02 10:55:00-04:00,OB_RETEST,WICK+CLOSE,LONG,747.66,746.94,749.1,746.94,STOP,-0.72
2026-07-02 10:55:00-04:00,OB_RETEST,WICK+CLOSE,LONG,747.66,746.77,749.44,746.77,STOP,-0.89
2026-07-02 14:05:00-04:00,OB_RETEST,WICK+CLOSE,LONG,742.44,740.03,747.26,747.26,TARGET,4.82
2026-07-06 10:05:00-04:00,OB_ENGULFING,ENGULFING,LONG,748.81,741.52,763.39,741.52,STOP,-7.29
2026-07-07 13:55:00-04:00,OB_ENGULFING,ENGULFING,LONG,749.18,745.93,755.68,745.93,STOP,-3.25
2026-07-09 09:50:00-04:00,OB_ENGULFING,ENGULFING,LONG,748.95,744.41,758.03,744.41,STOP,-4.54
2026-07-09 10:55:00-04:00,OB_RETEST,WICK+CLOSE,LONG,748.73,747.81,750.57,750.57,TARGET,1.84
2026-07-10 11:05:00-04:00,OB_RETEST,WICK+CLOSE,LONG,751.76,751.25,752.78,752.78,TARGET,1.02
2026-07-10 11:05:00-04:00,OB_RETEST,WICK+CLOSE,LONG,751.76,750.83,753.62,753.62,TARGET,1.86
2026-07-14 10:50:00-04:00,OB_ENGULFING,ENGULFING,LONG,751.59,748.7,757.37,748.7,STOP,-2.89
2026-07-14 10:50:00-04:00,OB_ENGULFING,ENGULFING,LONG,751.59,748.17,758.43,748.17,STOP,-3.42
2026-07-14 10:50:00-04:00,OB_ENGULFING,ENGULFING,LONG,751.59,748.0,758.77,748.0,STOP,-3.59
2026-07-14 10:50:00-04:00,OB_RETEST,WICK+CLOSE,LONG,751.59,750.21,754.35,750.21,STOP,-1.38
2026-07-15 10:45:00-04:00,OB_ENGULFING,ENGULFING,LONG,753.79,752.12,757.13,752.12,STOP,-1.67
2026-07-15 10:45:00-04:00,OB_ENGULFING,ENGULFING,LONG,753.79,752.09,757.19,752.09,STOP,-1.7
2026-07-15 15:10:00-04:00,OB_ENGULFING,ENGULFING,LONG,753.78,751.78,757.78,751.78,STOP,-2.0
2026-07-17 09:45:00-04:00,OB_RETEST,WICK+CLOSE,LONG,743.03,741.01,747.07,747.07,TARGET,4.04
2026-07-20 11:50:00-04:00,OB_ENGULFING,ENGULFING,LONG,746.22,742.34,753.98,742.34,STOP,-3.88
2026-07-20 11:50:00-04:00,OB_ENGULFING,ENGULFING,LONG,746.22,742.92,752.82,742.92,STOP,-3.3
2026-07-21 10:10:00-04:00,OB_ENGULFING,ENGULFING,LONG,745.74,741.76,753.71,748.33,APERTO,2.59
2026-07-21 10:10:00-04:00,OB_RETEST,WICK+CLOSE,LONG,745.74,744.27,748.69,748.69,TARGET,2.95
